Index,Value
2007-01-02,8561691 
2007-01-03,8918052 
2007-01-04,8942186 
2007-01-05,8923076 
2007-01-08,8870678 
2007-01-09,8753841 
2007-01-10,8879364 
2007-01-11,8797900 
2007-01-12,8658988 
2007-01-15,8700393 
2007-01-16,8611930 
2007-01-17,8622517 
2007-01-18,8641341 
2007-01-19,8573496 
2007-01-22,8652673 
2007-01-23,8764622 
2007-01-24,8704154 
2007-01-25,8527556 
2007-01-26,8533001 
2007-01-29,8654433 
2007-01-30,8664788 
2007-01-31,8535821 
2007-02-01,8571741 
2007-02-02,8337621 
2007-02-05,8417164 
2007-02-06,8751751 
2007-02-07,8931063 
2007-02-08,8999996 
2007-02-09,9011650 
2007-02-12,8999008 
2007-02-13,9111547 
2007-02-14,8935708 
2007-02-15,8777079 
2007-02-16,8814831 
2007-02-20,8989629 
2007-02-21,9157838 
2007-02-22,9160431 
2007-02-23,9121800 
2007-02-26,9383486 
2007-02-27,9459136 
2007-02-28,9736895 
2007-03-02,9696170 
2007-03-05,9485713 
2007-03-06,9450447 
2007-03-07,9282527 
2007-03-08,9140734 
2007-03-09,9140505 
2007-03-12,9155389 
2007-03-13,9169264 
2007-03-14,9413060 
2007-03-15,9194723 
2007-03-16,9059397 
2007-03-19,9129082 
2007-03-20,9332449 
2007-03-21,9470743 
2007-03-22,9655318 
2007-03-23,9556706 
2007-03-26,9578953 
2007-03-27,9697792 
2007-03-28,9747058 
2007-03-29,9822779 
2007-03-30,9909658 
2007-04-02,9961943 
2007-04-03,9934565 
2007-04-04,10412073 
2007-04-05,9909907 
2007-04-06,9824507 
2007-04-09,10373985 
2007-04-10,10451755 
2007-04-11,10724532 
2007-04-12,10747148 
2007-04-13,10861289 
2007-04-16,11235799 
2007-04-17,11676413 
2007-04-18,11599585 
2007-04-19,11627816 
2007-04-20,11563946 
2007-04-23,11419325 
2007-04-24,11445746 
2007-04-25,11753141 
2007-04-26,11831573 
2007-04-27,11591041 
2007-04-30,11366968 
2007-05-02,11480977 
2007-05-03,11486406 
2007-05-04,11366965 
2007-05-07,11480735 
2007-05-08,11740200 
2007-05-09,11799005 
2007-05-10,11984068 
2007-05-11,11969658 
2007-05-14,12247915 
2007-05-15,12251948 
2007-05-16,12155879 
2007-05-17,12291589 
2007-05-18,12318066 
2007-05-21,12246740 
2007-05-22,12398976 
2007-05-23,12503666 
2007-05-25,12517394 
2007-05-28,12666359 
2007-05-29,12749501 
2007-05-30,12850748 
2007-05-31,13175864 
2007-06-01,13183146 
2007-06-04,13825201 
2007-06-05,14060712 
2007-06-07,14100816 
2007-06-08,14308248 
2007-06-11,14222791 
2007-06-12,14348280 
2007-06-13,14034402 
2007-06-14,13988376 
2007-06-15,14032679 
2007-06-18,15035182 
2007-06-19,15663132 
2007-06-20,15761113 
2007-06-21,15150458 
2007-06-22,14964506 
2007-06-25,15351934 
2007-06-26,15097260 
2007-06-27,14982198 
2007-06-28,14592389 
2007-06-29,14015318 
2007-07-02,14178313 
2007-07-03,14337390 
2007-07-04,14690866 
2007-07-05,14972989 
2007-07-06,14873669 
2007-07-09,15427088 
2007-07-10,15326284 
2007-07-11,15178226 
2007-07-12,15590057 
2007-07-13,15523858 
2007-07-16,15336687 
2007-07-18,15769446 
2007-07-19,15563808 
2007-07-20,15185936 
2007-07-23,15411754 
2007-07-24,15743940 
2007-07-25,15576819 
2007-07-26,15625097 
2007-07-27,15704471 
2007-07-30,15256989 
2007-07-31,14555935 
2007-08-01,14580720 
2007-08-02,14492518 
2007-08-03,13700295 
2007-08-06,13486942 
2007-08-07,13578065 
2007-08-08,13341664 
2007-08-09,13234728 
2007-08-10,13649861 
2007-08-13,13782753 
2007-08-14,13014456 
2007-08-16,13751724 
2007-08-17,14021371 
2007-08-20,14790841 
2007-08-21,13938074 
2007-08-22,13212634 
2007-08-23,13117019 
2007-08-24,13039773 
2007-08-27,13275666 
2007-08-28,13091914 
2007-08-29,13204919 
2007-08-30,13251275 
2007-08-31,12836974 
2007-09-03,12728617 
2007-09-04,12975149 
2007-09-05,12910572 
2007-09-06,12928435 
2007-09-07,12584349 
2007-09-10,13074642 
2007-09-11,12940922 
2007-09-12,12910960 
2007-09-13,13106522 
2007-09-14,12549374 
2007-09-17,12527004 
2007-09-18,12635528 
2007-09-19,12576916 
2007-09-20,12108441 
2007-09-21,12170073 
2007-09-27,12831734 
2007-09-28,12692841 
2007-10-01,12603401 
2007-10-02,12547587 
2007-10-04,12609651 
2007-10-05,12999742 
2007-10-08,13031593 
2007-10-09,13151384 
2007-10-10,13220498 
2007-10-11,13338814 
2007-10-12,13613372 
2007-10-15,13630530 
2007-10-16,13556600 
2007-10-17,13702852 
2007-10-18,13481309 
2007-10-19,12942263 
2007-10-22,13234544 
2007-10-23,13146614 
2007-10-24,13129369 
2007-10-25,12876646 
2007-10-26,13010482 
2007-10-29,13367250 
2007-10-30,13867473 
2007-10-31,13130631 
2007-11-01,13394064 
2007-11-02,13277477 
2007-11-05,13369973 
2007-11-06,13298200 
2007-11-07,12689007 
2007-11-08,13309481 
2007-11-09,13240594 
2007-11-12,12812666 
2007-11-13,12624114 
2007-11-14,12250605 
2007-11-15,12147954 
2007-11-16,11924221 
2007-11-19,11648378 
2007-11-20,11451991 
2007-11-21,11426793 
2007-11-22,11326431 
2007-11-23,11081178 
2007-11-26,11297678 
2007-11-27,11388716 
2007-11-28,11132561 
2007-11-29,11187438 
2007-11-30,10827719 
2007-12-03,11303335 
2007-12-04,11493824 
2007-12-05,11350497 
2007-12-06,11470443 
2007-12-07,11323065 
2007-12-10,11539565 
2007-12-11,11575123 
2007-12-12,11610557 
2007-12-13,11688863 
2007-12-14,11521749 
2007-12-17,11251672 
2007-12-18,10743238 
2007-12-20,10758380 
2007-12-21,10439984 
2007-12-24,10350993 
2007-12-26,10389536 
2007-12-27,10104558 
2007-12-28,9736588 
2007-12-31,9508721 
2008-01-02,9984353 
2008-01-03,10129476 
2008-01-04,9831561 
2008-01-07,9977406 
2008-01-08,10052474 
2008-01-09,9904373 
2008-01-10,9904344 
2008-01-11,9831488 
2008-01-14,9758632 
2008-01-15,9732150 
2008-01-16,9865050 
2008-01-17,9923340 
2008-01-18,9886916 
2008-01-21,9667120 
2008-01-22,10069553 
2008-01-23,10011859 
2008-01-24,10008618 
2008-01-25,9726749 
2008-01-28,9698545 
2008-01-29,9711192 
2008-01-30,9927808 
2008-01-31,9771113 
2008-02-01,9550065 
2008-02-04,9645656 
2008-02-05,9248492 
2008-02-11,9692044 
2008-02-12,9748019 
2008-02-13,9561588 
2008-02-14,9209776 
