Index,Institutional_Total,ETC_Total,Retail_Total,Foreign_Total
2007-01-02,-10945595,0,10945595,0
2007-01-03,-29662505,0,29662505,0
2007-01-04,-27251945,0,27251945,0
2007-01-05,-77532440,0,77532440,0
2007-01-08,-62962555,0,62962555,0
2007-01-09,-41180075,0,41180075,0
2007-01-10,-90994720,0,90994720,0
2007-01-11,-43506875,0,43506875,0
2007-01-12,-19228260,0,17096430,2131830
2007-01-15,-506055,0,506055,0
2007-01-16,-7005490,0,7005490,0
2007-01-17,-38627220,0,38627220,0
2007-01-18,-69882530,0,69882530,0
2007-01-19,-122670910,0,122670910,0
2007-01-22,28971130,0,-28971130,0
2007-01-23,-52306205,0,52306205,0
2007-01-24,-16986710,0,7031380,9955330
2007-01-25,-3843620,0,3843620,0
2007-01-26,-6136415,0,16144280,-10007865
2007-01-29,-11083120,0,11083120,0
2007-01-30,-22755080,0,22755080,0
2007-01-31,-36111595,0,36111595,0
2007-02-01,-5085,0,5085,0
2007-02-02,26584415,0,-26584415,0
2007-02-05,16816045,0,-24018545,7202500
2007-02-06,-3685495,0,3685495,0
2007-02-07,31692070,0,-32167070,475000
2007-02-08,-255915,0,3796940,-3541025
2007-02-09,810660,0,1323715,-2134375
2007-02-12,-12143560,0,13710455,-1566895
2007-02-13,12469765,0,-20527525,8057760
2007-02-14,62213705,0,-82394455,20180750
2007-02-15,10587435,0,-5104980,-5482455
2007-02-16,3734825,0,-11393390,7658565
2007-02-20,-270360,0,-344350,614710
2007-02-21,33455710,0,-33435790,-19920
2007-02-22,-4834815,0,7951175,-3116360
2007-02-23,-396795,0,17601835,-17205040
2007-02-26,13460110,0,-22719610,9259500
2007-02-27,30487255,0,-35431035,4943780
2007-02-28,54106270,0,-30688280,-23417990
2007-03-02,-479905,0,2648185,-2168280
2007-03-05,13737120,0,-13737120,0
2007-03-06,-6132720,0,6132720,0
2007-03-07,20576075,0,-20576075,0
2007-03-08,29990475,0,-49342735,19352260
2007-03-09,42764400,0,-23177215,-19587185
2007-03-12,64293815,0,-64293815,0
2007-03-13,-3417540,0,3417540,0
2007-03-14,-5559015,0,5559015,0
2007-03-15,5019280,0,-5019280,0
2007-03-16,16657695,0,-16657695,0
2007-03-19,17239790,0,-17239790,0
2007-03-20,13532940,0,-13532940,0
2007-03-21,55673100,0,-55673100,0
2007-03-22,-1116665,0,-40320375,41437040
2007-03-23,28136550,0,-33654745,5518195
2007-03-26,10036455,0,-14673260,4636805
2007-03-27,5329790,0,-5298950,-30840
2007-03-28,10485895,0,-10485895,0
2007-03-29,35963210,0,-35963210,0
2007-03-30,908045,0,6915455,-7823500
2007-04-02,17955100,0,-17955100,0
2007-04-03,32357330,0,-32357330,0
2007-04-04,1214205,0,-37562635,36348430
2007-04-05,26566475,0,-26566475,0
